,,,,,,,,,,,,,,,,,,,LISTING PARTITIONS HMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITRE,AUTEUR,ARRANGEUR,Ref. Classement,Conducteur,Piccolo,Ptte flûte réb,Flûte 1,Flûte 2 ,Hautbois 1 ,Hautbois 2,Basson 1,Basson 2,Petite Clarinette Mib,Clarinette Alto,Clarinette Solo,Clarinette 1 Sib,Clarinette 2 Sib,Clarinette 3 Sib,Clarinette Basse,Sax. Soprano,Sax Alto 1,Sax Alto 2 ,Sax Alto 3 ,Sax Ténor 1 ,Sax Ténor 2,Sax Baryton,Sax Basse,Bugle 1,Bugle 2,Cornet 1,Cornet 2,Cornet 3,Trompette 1,Trompette 2,Trompette 3,Cor fa 1 + Mib,Cor fa 2 + Mib,Cor fa 3 + Mib,Cor fa 4 + Mib,Trombone Ut 1,Trombone Ut 2,Trombone Ut 3,Trombone Ut 4,Trombone Sib 1 clé fa,Trombone Sib2 Clé fa,Trombone Sib3 clé fa,Trombone Sib 4 clé fa,Trombone sib 1 clé sol,TromboneSib2 clé de sol,Trombone Sib 3 clé de sol,Tuba Ut clé de fa,Tuba sib clé de fa,Baryton sib clé de sol,Euphonium Ut clé de fa,Euph 1 Sib clé de fa + sol,Euphonium 2 Sib clé de fa,Basse Sib clé de fa,Basse Sib clé de sol,Contrebasse Sib clé de fa,Contrebasse Sib clé de sol,Contrebasse Mib clé de fa,Contrebasse Mib clé de sol,Contrebasse Ut clé de Fa,Batterie,Percussion 1,Percussion 2,Timbales,Divers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie Parade,Willi Löffler,, A 080,1,0,0,5,0,1,0,1,,1,,0,12,8,8,0,0,2,2,0,0,2,1,,2,1,0,0,0,4,2,1,1,1,0,0,1,0,0,,0,0,0,,1,0,1,0,,1,1,0,0,0,1+1,0,0,0,0,0,0,1,0,0,1 ténorhorn sib1 + 1 ténor horn sib3 + 2 basse UT clé fa 1 + 1 basse Ut clé fa 2,
Hymne Espagnol,,,A 001,0,1,0,1,0,0,0,0,,0,,0,4,2,0,0,0,2,1,0,2,2,0,,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,,1,0,0,,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,
Hymne Argentin,,,A 002,1,0,0,2,1,1,0,0,,1,,0,5,4,0,0,0,3,2,1,3,0,2,,4,2,3,3,0,1,1,0,1,1,1,0,1,1,1,,0,0,0,,0,0,0,0,,1,0,0,0,5,0,2,0,0,0,0,1,1,0,0,,
Hymne Norvégien / Hymne Néerlandais,,,A 003,0,1,0,1,0,0,0,0,,0,,0,4,1,0,0,0,2,0,0,2,1,1,,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,,0,0,0,,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
Largo,Haendel,,A 004,0,0,1,1,0,1,0,0,,2,,0,5,4,0,1,1,3,2,0,2,0,1,,2,2,0,0,0,2,2,0,1,1,0,0,1,1,2,,0,0,0,,0,0,0,0,,2,0,0,0,3,0,1,0,0,0,0,1,1,0,0,,
Pas redoublé/Marche Lorraine,Louis Ganne,,A 005,0,0,0,4,0,0,0,0,,1,,0,5,4,0,0,0,3,0,0,2,0,1,,0,0,2,2,0,0,0,0,1,2,0,0,0,1,1,,0,0,0,,0,0,0,0,,1+1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,4clairons,
Barcarolle d'Obéron,Weber,Andrieu,A 006,1,0,0,2,0,0,0,0,,1,,0,9,3,0,0,0,3,0,0,2,0,1,,2,1,3,2,0,1,1,0,0,0,0,0,1,1,1+1,,0,0,0,,0,0,0,0,,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,,
Marche des Cotillons,Francis Poppy,,A 007,1,0,1,2,0,2,0,1,,1,,0,6,4,0,0,1,4,2,1,2,1,3,,4,1,3,2,0,2,0,0,1,0,0,0,1,1,1+1,,0,0,0,,0,0,0,0,,1,0,0,0,1,0,5,0,1,0,2,1,1,0,1,1ptt bugle miB,
Dixieland Balthazar,James Cower,,A 008,0,1,0,7,0,1,0,0,,1,,,8,8,0,0,1,4,0,0,2,0,1,,1,1,4,3,0,0,0,0,4,0,0,0,0,1,1,,0,0,0,,0,0,0,0,,2,0,0,0,1,0,4,0,1,0,0,0,2,0,0,1Basse UT,
Himno Nacional español,Perez Casas,,A 009,1,0,0,2,0,1,0,0,,1,,0,4,6,0,0,0,6,0,0,4,0,1,,4,7,5,4,0,0,0,0,4,0,0,0,0,0,0,,1,2,0,,0,0,0,0,,0,3,0,0,0,0,2,0,1,0,0,1,1,0,0,,
Hymne anglais et américain,,,A 010,1,0,1,4,0,4,0,1,,0,,0,4,1,0,0,2,8,0,0,3,0,3,,0,1,3,3,0,5,0,0,2,0,0,0,0,1,2,,4,0,0,,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,,
Marche Funèbre,Chopin,Clodomir,A 011,1,1,0,0,0,0,0,0,,1,,0,4,5,0,0,1,4,0,0,3,0,2,,4,5,4,5,1,1,0,0,3+2,2,0,0,0,0,0,,2,2,2,,0,0,0,0,,2,0,0,0,5,0,1,0,1,0,1,1,1,0,0,,
Hymne autrichien / allemand,Mozart/Haydn,,A 012,1,0,3,9,0,4,0,0,,2,,4,9,7,6,0,0,10,0,0,3,0,12,,3,4,8,8,0,0,0,0,2,2,0,0,7,5,3,,0,0,0,,0,0,0,6,,2,1,0,0,0,0,0,2,0,0,0,3,4,0,4,,
Hymne Belge / la Brabançonne,,,A 013,1,0,0,3,0,4,0,1,,1,,0,7,3,0,0,0,3,0,0,1,0,1,,3,2,7,1,0,2,0,0,3,1,0,0,2,,1,,0,0,0,,0,0,0,0,,4,0,0,0,5,0,0,0,1,0,0,0,2,0,0,,
